split,model,configuration,stage2_usage,n_stage2,accuracy,auc,f1,precision,recall,specificity,tn,fp,fn,tp
13,XGBoost,Stage 1 + Stage 2,1.0,60,0.8833333333333333,0.9344444444444444,0.8813559322033898,0.896551724137931,0.8666666666666667,0.9,27,3,4,26
13,XGBoost,Cascade,0.11666666666666667,7,0.8666666666666667,0.9377777777777778,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,26,4,4,26
14,Logistic Regression,Stage 1 only,0.0,0,0.9166666666666666,0.9688888888888889,0.9180327868852459,0.9032258064516129,0.9333333333333333,0.9,27,3,2,28
14,Logistic Regression,Stage 1 + Stage 2,1.0,60,0.8833333333333333,0.9577777777777778,0.8813559322033898,0.896551724137931,0.8666666666666667,0.9,27,3,4,26
14,Logistic Regression,Cascade,0.11666666666666667,7,0.9333333333333333,0.9466666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,28,2,2,28
14,Random Forest,Stage 1 only,0.0,0,0.9,0.9633333333333334,0.896551724137931,0.9285714285714286,0.8666666666666667,0.9333333333333333,28,2,4,26
14,Random Forest,Stage 1 + Stage 2,1.0,60,0.9333333333333333,0.9861111111111112,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,28,2,2,28
14,Random Forest,Cascade,0.38333333333333336,23,0.9333333333333333,0.9672222222222222,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,28,2,2,28
14,XGBoost,Stage 1 only,0.0,0,0.8833333333333333,0.9566666666666668,0.8771929824561403,0.9259259259259259,0.8333333333333334,0.9333333333333333,28,2,5,25
14,XGBoost,Stage 1 + Stage 2,1.0,60,0.8833333333333333,0.9655555555555555,0.8771929824561403,0.9259259259259259,0.8333333333333334,0.9333333333333333,28,2,5,25
14,XGBoost,Cascade,0.15,9,0.9166666666666666,0.9522222222222222,0.9122807017543859,0.9629629629629629,0.8666666666666667,0.9666666666666667,29,1,4,26
15,Logistic Regression,Stage 1 only,0.0,0,0.9333333333333333,0.9911111111111112,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,28,2,2,28
15,Logistic Regression,Stage 1 + Stage 2,1.0,60,0.9166666666666666,0.9788888888888889,0.9152542372881356,0.9310344827586207,0.9,0.9333333333333333,28,2,3,27
15,Logistic Regression,Cascade,0.1,6,0.9333333333333333,0.9877777777777779,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,28,2,2,28
15,Random Forest,Stage 1 only,0.0,0,0.9,0.9700000000000001,0.9032258064516129,0.875,0.9333333333333333,0.8666666666666667,26,4,2,28
15,Random Forest,Stage 1 + Stage 2,1.0,60,0.9166666666666666,0.97,0.9152542372881356,0.9310344827586207,0.9,0.9333333333333333,28,2,3,27
15,Random Forest,Cascade,0.4,24,0.9166666666666666,0.9694444444444444,0.9152542372881356,0.9310344827586207,0.9,0.9333333333333333,28,2,3,27
15,XGBoost,Stage 1 only,0.0,0,0.9166666666666666,0.9611111111111111,0.9180327868852459,0.9032258064516129,0.9333333333333333,0.9,27,3,2,28
15,XGBoost,Stage 1 + Stage 2,1.0,60,0.9,0.9355555555555557,0.896551724137931,0.9285714285714286,0.8666666666666667,0.9333333333333333,28,2,4,26
15,XGBoost,Cascade,0.11666666666666667,7,0.9333333333333333,0.9688888888888889,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,28,2,2,28
16,Logistic Regression,Stage 1 only,0.0,0,0.9166666666666666,0.9855555555555555,0.9180327868852459,0.9032258064516129,0.9333333333333333,0.9,27,3,2,28
16,Logistic Regression,Stage 1 + Stage 2,1.0,60,0.9666666666666667,0.9933333333333334,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,29,1,1,29
16,Logistic Regression,Cascade,0.11666666666666667,7,0.9666666666666667,0.9977777777777778,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,29,1,1,29
16,Random Forest,Stage 1 only,0.0,0,0.9166666666666666,0.9911111111111112,0.9152542372881356,0.9310344827586207,0.9,0.9333333333333333,28,2,3,27
16,Random Forest,Stage 1 + Stage 2,1.0,60,0.95,0.9861111111111112,0.9473684210526315,1.0,0.9,1.0,30,0,3,27
16,Random Forest,Cascade,0.35,21,0.95,0.9916666666666667,0.9473684210526315,1.0,0.9,1.0,30,0,3,27
16,XGBoost,Stage 1 only,0.0,0,0.8833333333333333,0.96,0.8771929824561403,0.9259259259259259,0.8333333333333334,0.9333333333333333,28,2,5,25
16,XGBoost,Stage 1 + Stage 2,1.0,60,0.9,0.9822222222222221,0.8928571428571429,0.9615384615384616,0.8333333333333334,0.9666666666666667,29,1,5,25
16,XGBoost,Cascade,0.15,9,0.8666666666666667,0.9788888888888889,0.8571428571428571,0.9230769230769231,0.8,0.9333333333333333,28,2,6,24
17,Logistic Regression,Stage 1 only,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,30,0,0,30
